geo,siec,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RS,C0000X0350-0370,118296.761,100713.778,104708.867,97415.36,89211.669,102791.196,107208.587,110615.801,119742.659,88942.375,100541.034,97206.688,102889.571,109764.749,114258.067,93664.088,101873.589,100390.952,104014.321,93257.95,90162.381,101860.756,88637.001,91991.125,72815.554,90015.574,92082.241,91558.94,87794.086,87267.518,91905.067,81251.462,80089.573,78406.304,75878.375
SE,C0000X0350-0370,31668.222,29310.163,27384.557,28201.294,30785.512,29887.226,31734.906,27359.653,26297.952,25395.51,25794.114,28885.093,29038.295,27091.698,29808.132,26989.968,28150.859,27952.867,24044.867,18411.233,24879.878,25120.0,22571.733,23103.256,22480.444,23029.911,22167.967,22215.222,23330.978,21606.389,17490.111,19289.689,17237.722,16903.467,18196.622
SI,C0000X0350-0370,18296.216,16703.482,17393.965,16587.151,15466.013,16041.71,14771.998,16414.565,16620.762,15205.258,15188.191,16631.641,18235.307,17353.669,17887.188,17891.923,18196.844,18588.275,17861.497,16596.258,16902.801,17033.978,16199.244,15723.735,12195.97,12419.521,13344.002,13263.14,13158.948,12400.151,11864.289,10876.555,8698.592,8433.122,9068.969
SK,C0000X0350-0370,91076.09,80935.662,71526.659,71188.953,63494.573,62690.824,62012.98,59138.424,54482.956,52974.537,49673.934,51473.641,49637.423,53391.437,52603.384,49296.91,51827.766,46567.259,46622.14,45041.185,45324.837,43072.185,40436.954,40131.368,39821.436,38135.191,37472.786,39272.051,38832.646,31749.269,26806.979,32834.376,27944.789,27940.344,22901.436
UK,C0000X0350-0370,733939.269,738610.574,692882.889,608120.544,575687.803,548327.571,515196.796,466217.989,453436.9,404726.89,424507.972,450662.0,436264.671,473635.732,432897.187,438790.081,478530.446,457361.149,418428.366,339009.478,370693.105,359238.869,457360.448,429532.097,344109.371,286911.129,146967.755,117993.071,95253.224,68298.216,,,,,
XK,C0000X0350-0370,,,,,,,,,,,11268.302,14293.574,14198.216,15160.527,15115.015,14447.511,14385.66,15031.556,16237.53,18434.879,19476.094,18874.32,17818.591,18091.166,15760.948,18115.041,19630.209,16491.408,16679.299,17498.942,17952.587,18224.939,17828.251,14983.071,
AL,G3000,2363.25,1375.0,996.0,796.0,506.75,269.25,223.5,177.75,161.0,157.0,104.75,81.75,136.0,125.5,96.25,104.75,104.75,167.5,83.75,85.5,134.5,139.75,153.75,169.5,288.75,318.25,406.643,435.31,375.766,669.888,479.25,514.85,443.553,436.336,
AT,G3000,60899.749,64387.5,63225.25,66679.001,68585.5,74883.501,79705.499,76819.75,78866.0,80243.0,76578.5,81158.001,80795.0,87221.498,89321.5,94037.116,88040.494,82958.626,87743.447,85717.481,94469.756,89161.9,85208.237,82113.873,75216.187,80344.087,84233.2,90439.906,85626.743,89278.733,85118.714,89921.517,80127.852,68533.757,67870.428
BA,G3000,,,,,,,,,,,,,,,,,,,,,,,,,1765.75,2063.5,2148.0,2323.007,2315.007,2186.256,1994.256,2403.257,2342.507,2112.689,
BE,G3000,95005.188,101581.398,105247.342,109398.084,112491.295,123405.275,137416.656,131009.632,145076.581,155085.645,155475.816,153279.855,155586.425,167493.814,170013.998,172012.635,175732.721,174779.107,173159.127,175802.144,195407.294,168053.526,167777.726,169025.84,147516.893,162741.531,166014.001,169672.043,175091.002,177475.162,176510.575,177144.673,150819.619,141952.631,138656.273
BG,G3000,62752.5,53695.905,47293.446,44221.147,44428.247,53317.626,54383.11,43027.593,36391.677,31240.269,34091.898,31844.435,27939.064,29070.202,28990.101,32611.162,33734.252,35011.098,33892.505,25129.105,26753.25,30590.025,28507.112,27885.553,27477.075,30177.182,31244.693,32125.065,30379.215,28398.349,29251.219,33040.163,27043.22,25263.474,27133.671
CZ,G3000,61030.75,58889.75,67450.5,68931.75,67329.75,76195.25,87687.0,89188.75,89380.25,89860.5,87226.75,93414.0,90272.5,91204.75,90573.25,89591.0,88312.75,84185.5,83428.25,79133.5,93848.75,79190.5,79736.5,80786.75,71898.0,75394.5,81599.067,83747.5,79306.188,83249.755,84621.075,90675.107,73753.43,66947.766,66819.31
DE,G3000,639420.25,671332.25,660586.0,694165.5,711625.75,782670.0,875292.0,836758.5,845835.25,837310.75,835652.25,879122.75,878887.0,882428.06,886036.095,904602.487,922210.86,889637.246,897393.017,845862.517,882768.404,809397.822,811995.176,850173.228,737041.28,757742.104,817936.77,876226.223,855412.055,879465.372,867597.416,897623.632,776455.997,745036.387,754185.315
DK,G3000,21138.5,23933.0,25165.0,28497.0,31842.75,36871.25,43433.75,45730.0,49683.5,52229.25,51741.364,53858.392,53816.709,54203.464,53890.607,51165.794,52759.828,47236.75,47403.257,45327.364,51428.162,43130.326,40524.29,38564.333,32610.806,33192.274,33484.106,31969.087,31104.105,29415.148,24565.309,22443.333,16906.458,15352.909,16716.704
EE,G3000,14215.25,14273.75,8345.25,4136.5,5940.75,6774.5,7471.0,7259.5,6890.0,6697.5,7699.25,8262.5,6928.5,7908.75,9008.0,9300.25,9398.75,9343.0,8961.0,6107.25,6542.0,5853.25,6343.0,6453.5,5065.5,4541.0,4980.75,4721.297,4810.323,4421.416,4047.262,4584.814,3397.046,2946.198,3144.087
EL,G3000,1606.514,1586.997,1466.494,1081.507,553.253,510.251,573.253,1988.734,8436.655,14165.083,19824.028,19573.974,20946.518,23565.181,25920.718,27371.984,31950.961,39125.445,40777.087,34552.85,37616.823,46197.383,42589.885,37638.322,28892.421,31132.939,40586.063,48888.66,47883.441,52210.004,57318.426,63367.805,51214.61,46208.135,60508.775
ES,G3000,57804.863,65122.033,68092.119,66792.117,73231.531,89809.957,100507.948,131513.19,135011.504,154553.686,176996.441,190729.988,218074.958,248332.945,292744.577,347083.378,367627.204,369640.694,406001.998,363149.07,362036.13,336522.659,332323.816,304280.092,275243.072,285383.332,291215.949,317112.393,314951.5,359330.248,324655.98,342116.978,329562.44,293411.065,279878.561
FI,G3000,25386.5,26832.75,27810.25,28877.75,31930.0,33023.25,34509.25,33805.25,38792.75,38820.75,39896.0,43215.25,42945.75,47615.25,46055.5,41945.75,45185.5,43395.239,44917.472,40516.119,44625.238,39076.229,34949.045,33219.862,29228.755,26007.75,23940.223,22473.523,25314.405,24795.437,24607.282,24739.892,12841.305,14742.672,15888.498
FR,G3000,302751.82,331665.704,330988.711,338513.065,323148.759,343979.058,380147.414,364472.203,388593.698,396208.902,415960.055,436680.778,435943.941,457269.504,466929.105,477127.271,460801.542,447605.549,463871.093,447309.542,495643.832,430190.344,444442.958,451431.541,379083.514,407517.639,445299.437,447657.066,427728.114,435676.246,405165.931,429946.934,384468.487,337951.202,315618.694
HR,G3000,25522.75,23636.0,24500.5,25868.5,24339.0,22495.0,25207.25,26129.75,25118.0,25467.5,25695.5,26925.9,27567.0,27401.75,28588.25,27644.05,27339.0,31413.75,29967.75,27950.0,30614.25,29891.75,28066.0,26538.0,23485.75,24212.5,25243.283,28996.669,26658.366,27981.422,29368.095,28251.805,24805.114,26618.425,24318.25
HU,G3000,103659.0,102789.5,90360.0,97237.75,98196.25,106703.75,119061.75,112913.75,113698.25,115195.75,112308.0,124564.75,125726.75,138234.75,136213.25,140652.5,133242.25,124497.25,122822.5,106436.5,114154.25,108786.25,97424.0,89598.25,81196.25,87107.0,93362.473,99341.5,96224.25,98439.998,101929.751,108104.0,91909.751,82148.25,82511.25
IE,G3000,21782.5,22322.5,22079.75,25078.75,25511.5,27144.0,30833.25,32234.75,32595.25,34857.0,39960.0,41679.25,42782.75,42479.25,42390.471,40652.029,46033.63,49424.637,52543.205,49649.347,54682.095,48116.963,46884.798,44808.386,43405.823,43716.767,49388.778,50155.183,52190.81,53033.98,53104.13,50816.665,51861.279,48140.573,49530.592
IT,G3000,453585.0,482354.25,478134.5,487877.0,471443.75,519306.75,535757.0,552260.25,594598.25,646264.25,673845.5,675693.75,671122.25,739911.75,767800.75,821674.0,804700.75,808644.0,808510.75,743179.25,791499.0,742158.5,713565.75,667407.5,589711.75,643156.5,675465.5,715815.138,692140.822,708837.576,677864.094,726066.08,652488.827,585332.272,588807.187
LT,G3000,54404.25,56319.25,32174.75,17401.0,20131.5,23591.5,25221.0,23283.5,20394.5,21080.25,24001.0,24959.25,25238.25,27378.0,27303.5,28801.25,28540.75,33629.5,30187.25,25368.5,28979.5,31610.75,30866.5,25173.25,24010.25,24044.75,21417.75,22346.748,20651.247,21682.968,22931.5,21821.128,14903.074,14512.986,15926.885
LU,G3000,4995.25,5197.25,5417.25,5627.25,5678.0,6479.0,7107.5,7282.75,7358.5,7629.25,7807.815,8679.57,12407.351,12559.636,13908.188,13680.046,14309.427,13356.534,12714.349,12937.973,13916.304,12005.374,12223.856,10349.571,9805.959,8942.812,8246.929,8061.143,7950.633,7955.588,7225.362,7789.807,6117.396,5732.4,6033.957
LV,G3000,27681.25,27907.5,20065.0,13217.25,9617.75,11744.25,10062.0,12262.75,12013.5,11511.25,12704.5,14767.0,15020.0,15668.75,15495.75,15792.25,16359.0,15811.75,15503.75,14272.25,17001.75,14984.25,14085.75,14010.5,12579.5,12774.25,12947.653,11548.068,13595.973,12831.67,10586.321,11212.477,8045.615,7979.784,8239.279
ME,G3000,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MK,G3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,385.25,629.25,837.75,866.0,772.75,680.25,729.0,780.5,996.0,1132.5,750.25,1111.25,1282.75,1331.25,1506.75,1292.75,1302.25,2047.529,2633.22,2428.743,2839.25,3250.222,4126.42,2779.838,3516.891,
NL,G3000,357360.059,399665.168,387137.46,398526.422,387970.957,401165.163,441915.027,415776.614,413192.873,402165.16,407137.393,417193.11,416332.112,418470.855,427415.326,410831.881,398248.673,387693.208,403054.157,412776.374,465970.697,407554.142,389443.202,388217.298,338464.787,332996.045,349348.954,362376.579,357521.68,372866.969,365816.802,350774.82,271704.519,258013.728,261516.964
NO,G3000,22981.437,22467.127,37648.955,42985.776,45667.511,40258.283,34712.895,45607.706,50072.433,55314.514,48201.25,71660.25,49896.949,60361.251,47020.141,47351.157,46787.87,56607.933,64599.672,62955.025,74188.14,59410.406,64721.641,65334.741,66569.009,71505.069,66371.031,58122.654,63972.301,57803.201,59711.397,56156.172,52539.821,54109.358,46572.428
PL,G3000,103946.0,96929.0,90274.25,94829.25,95552.0,104609.0,109848.25,109524.75,110651.25,107731.25,115831.25,120679.75,117616.5,130961.75,138171.0,142287.25,146323.25,145312.25,146141.25,140285.25,148919.706,149286.617,159101.2,159748.436,155892.188,160212.446,170184.277,179624.048,187523.32,188730.587,202831.135,212022.84,174961.731,183325.345,197330.877
