country,status,forest_type,region,mgmt_type,mgmt_strategy,species group,age_class,volume,stem_biomass,bark_biomass,branches_biomass,foliage_biomass,foliage/stem ratio,total_agb,bcef
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_10,358.3,181.1873753,0.127007545,0.310479247,0.027571442,0%,181.6524335,0.51
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_11,369.7,186.5324342,0.125949941,0.309823387,0.026873974,0%,186.9950815,0.51
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_12,377.9,190.3697961,0.125195141,0.309328614,0.026382201,0%,190.8307021,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_13,383.6,193.0337041,0.124673356,0.308973919,0.026045195,0%,193.4933966,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_14,387.6,194.9014152,0.124308598,0.308719928,0.02581105,0%,195.3602548,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_15,390.5,196.2546402,0.124044869,0.308533229,0.0256425,0%,196.7128608,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_16,392.4,197.1408445,0.123872409,0.308409766,0.025532617,0%,197.5986593,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_17,393.8,197.7936401,0.123745499,0.30831822,0.025451928,0%,198.2511557,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_18,394.8,198.2598207,0.123654934,0.308252536,0.025394436,0%,198.7171226,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_19,395.5,198.5860966,0.123591582,0.308206411,0.025354262,0%,199.0432489,0.50
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_20,395.9,198.7725214,0.123555396,0.308180001,0.025331332,0%,199.2295881,0.50
AT,ForAWS,FS,AT12,HP,E,broad,AgeCL_1,20.2,12.55630219,0.164832767,0.256436197,0.051892945,0%,13.0294641,0.65
AT,ForAWS,FS,AT12,HP,E,broad,AgeCL_2,40.4,23.893941,0.161734991,0.277636653,0.051704414,0%,24.38501706,0.60
