country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,AgeCL_3,AgeCL_4,AgeCL_5,AgeCL_6,AgeCL_7,AgeCL_8,AgeCL_9,AgeCL_10,AgeCL_11,AgeCL_12,AgeCL_13,AgeCL_14,AgeCL_15,AgeCL_16,AgeCL_17,AgeCL_18,AgeCL_19,AgeCL_20
AT,ForAWS,PA,AT12,HP,E,con,4.2,9.9,12.6,13.5,13.3,12.5,11.4,10.2,8.9,7.8,6.7,5.7,4.9,4.1,3.5,2.9,-,-,-,-
AT,ForAWS,PA,AT12,HS,E,con,4.2,9.9,12.6,13.5,13.3,12.5,11.4,10.2,8.9,7.8,6.7,5.7,4.9,4.1,3.5,2.9,-,-,-,-
AT,ForAWS,PA,AT21,HP,E,con,4.1,13.3,18.7,20.1,19.1,16.8,14.2,11.7,9.4,7.4,5.8,4.5,3.5,2.7,2.1,1.6,-,-,-,-
AT,ForAWS,PA,AT21,HS,E,con,4.1,13.3,18.7,20.1,19.1,16.8,14.2,11.7,9.4,7.4,5.8,4.5,3.5,2.7,2.1,1.6,-,-,-,-
AT,ForAWS,PA,AT22,HP,E,con,2.6,5.1,6.3,7,7.3,7.4,7.2,7,6.7,6.4,6,5.6,5.2,4.9,4.5,4.2,-,-,-,-
AT,ForAWS,PA,AT22,HS,E,con,2.6,5.1,6.3,7,7.3,7.4,7.2,7,6.7,6.4,6,5.6,5.2,4.9,4.5,4.2,-,-,-,-
AT,ForAWS,PA,AT31,HP,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForAWS,PA,AT31,HS,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForAWS,PA,AT32,HP,E,con,1.6,14.6,28.2,30.4,25.2,18.2,12.2,7.8,4.9,3,1.9,1.1,0.7,0.4,0.3,0.2,-,-,-,-
AT,ForAWS,PA,AT32,HS,E,con,1.6,14.6,28.2,30.4,25.2,18.2,12.2,7.8,4.9,3,1.9,1.1,0.7,0.4,0.3,0.2,-,-,-,-
AT,ForAWS,PA,AT33,HP,E,con,1.2,5,8.5,10.5,11.2,10.9,10.1,8.9,7.7,6.5,5.5,4.5,3.7,3,2.4,2,-,-,-,-
AT,ForAWS,PA,AT33,HS,E,con,1.2,5,8.5,10.5,11.2,10.9,10.1,8.9,7.7,6.5,5.5,4.5,3.7,3,2.4,2,-,-,-,-
AT,ForAWS,PA,AT34,HP,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForAWS,PA,AT34,HS,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForAWS,PC,AT22,HP,E,con,3.8,7.3,8.4,8.4,7.7,6.9,6,5.1,4.3,3.6,3,2.5,2,1.6,1.4,1.1,-,-,-,-
AT,ForAWS,PC,AT22,HS,E,con,3.8,7.3,8.4,8.4,7.7,6.9,6,5.1,4.3,3.6,3,2.5,2,1.6,1.4,1.1,-,-,-,-
AT,ForAWS,PC,AT33,HP,E,con,1.3,3.5,4.8,5.3,5.5,5.3,4.9,4.5,4,3.5,3.1,2.7,2.3,2,1.7,1.5,-,-,-,-
AT,ForAWS,PC,AT33,HS,E,con,1.3,3.5,4.8,5.3,5.5,5.3,4.9,4.5,4,3.5,3.1,2.7,2.3,2,1.7,1.5,-,-,-,-
AT,ForAWS,PN,AT12,HP,E,con,1.5,3.9,4.9,5,4.6,4,3.3,2.7,2.2,1.7,1.3,1,0.8,0.6,0.5,0.4,-,-,-,-
AT,ForAWS,PN,AT12,HS,E,con,1.5,3.9,4.9,5,4.6,4,3.3,2.7,2.2,1.7,1.3,1,0.8,0.6,0.5,0.4,-,-,-,-
AT,ForAWS,PS,AT11,HP,E,con,2.3,9.9,15.5,17.2,16.3,14.1,11.5,9.1,7,5.3,4,2.9,2.2,1.6,1.2,0.9,-,-,-,-
AT,ForAWS,PS,AT12,HP,E,con,0.1,1.4,3.7,6.1,7.9,8.8,8.9,8.5,7.8,6.9,6,5.1,4.3,3.5,2.9,2.4,-,-,-,-
AT,ForAWS,PS,AT12,HS,E,con,0.1,1.4,3.7,6.1,7.9,8.8,8.9,8.5,7.8,6.9,6,5.1,4.3,3.5,2.9,2.4,-,-,-,-
AT,ForAWS,PS,AT21,HP,E,con,1.4,4.9,7.9,9.8,10.8,11,10.7,10.1,9.3,8.4,7.5,6.7,5.8,5.1,4.4,3.8,-,-,-,-
AT,ForAWS,PS,AT22,HP,E,con,3.3,8.5,10.2,9.8,8.4,6.9,5.4,4.2,3.2,2.4,1.8,1.3,1,0.7,0.5,0.4,-,-,-,-
AT,ForAWS,PS,AT31,HP,E,con,1,7.7,16.1,20.5,20.5,18,14.6,11.3,8.4,6.2,4.5,3.2,2.2,1.6,1.1,0.8,-,-,-,-
AT,ForAWS,PS,AT33,HP,E,con,0.7,3,4.9,5.9,5.9,5.4,4.7,4,3.2,2.6,2,1.6,1.2,0.9,0.7,0.6,-,-,-,-
AT,ForAWS,PS,AT33,HS,E,con,0.7,3,4.9,5.9,5.9,5.4,4.7,4,3.2,2.6,2,1.6,1.2,0.9,0.7,0.6,-,-,-,-
AT,ForAWS,QR,AT11,HP,E,broad,1.8,7.1,11.4,13.7,14.2,13.6,12.4,10.8,9.2,7.8,6.4,5.3,4.3,3.5,2.8,2.2,-,-,-,-
AT,ForAWS,QR,AT12,HP,E,broad,0.9,5.8,11.4,15,16.2,15.7,14.1,12.1,10.1,8.2,6.6,5.2,4.1,3.2,2.5,1.9,-,-,-,-
AT,ForAWS,QR,AT13,HP,E,broad,3.5,8.1,10.8,12.3,12.9,12.9,12.6,12,11.2,10.4,9.6,8.7,7.9,7.2,6.4,5.8,-,-,-,-
AT,ForAWS,QR,AT21,HP,E,broad,1.5,4.4,6.4,7.6,8.2,8.3,8.1,7.7,7.2,6.7,6.1,5.5,4.9,4.4,3.9,3.4,-,-,-,-
AT,ForAWS,QR,AT22,HP,E,broad,0.2,1.6,3.4,4.6,5,4.9,4.4,3.8,3.2,2.6,2,1.6,1.3,1,0.7,0.6,-,-,-,-
AT,ForAWS,QR,AT31,HP,E,broad,9.8,23.6,27,24.9,20.7,16.3,12.5,9.3,6.8,5,3.6,2.6,1.9,1.3,1,0.7,-,-,-,-
AT,ForNAWS,AA,AT21,HNP,E,con,2,7.6,12.4,15.5,16.9,17.2,16.6,15.5,14.1,12.6,11.2,9.8,8.4,7.3,6.2,5.3,-,-,-,-
AT,ForNAWS,AA,AT33,HNP,E,con,6.9,12.4,14.3,14.8,14.5,13.7,12.7,11.6,10.4,9.4,8.3,7.4,6.5,5.7,5,4.4,-,-,-,-
AT,ForNAWS,FS,AT12,HNP,E,broad,2.5,9.9,14.1,14.6,12.9,10.6,8.2,6.2,4.5,3.3,2.4,1.7,1.2,0.9,0.6,0.4,-,-,-,-
AT,ForNAWS,FS,AT21,HNP,E,broad,0.2,1.3,3,4.7,6.2,7.3,8.1,8.6,8.7,8.6,8.4,7.9,7.5,6.9,6.4,5.8,-,-,-,-
AT,ForNAWS,FS,AT22,HNP,E,broad,3.3,6.3,6.8,6.4,5.5,4.7,3.8,3.1,2.4,1.9,1.5,1.2,0.9,0.7,0.6,0.4,-,-,-,-
AT,ForNAWS,FS,AT31,HNP,E,broad,2.2,6.2,8.5,9.4,9.4,8.8,8,7.1,6.1,5.2,4.4,3.7,3.1,2.6,2.1,1.8,-,-,-,-
AT,ForNAWS,FS,AT32,HNP,E,broad,1.5,6.3,9.9,11,10.4,8.9,7.3,5.7,4.4,3.3,2.5,1.8,1.4,1,0.7,0.5,-,-,-,-
AT,ForNAWS,FS,AT33,HNP,E,broad,1.5,6.9,10.5,11,9.8,7.9,6.1,4.5,3.3,2.3,1.6,1.1,0.8,0.6,0.4,0.3,-,-,-,-
AT,ForNAWS,FS,AT34,HNP,E,broad,1.9,3.9,5.1,5.8,6.2,6.3,6.4,6.3,6.1,5.9,5.6,5.4,5.1,4.8,4.5,4.2,-,-,-,-
AT,ForNAWS,LD,AT21,HNP,E,con,1.8,6.8,10.7,12.5,12.8,12,10.8,9.3,7.8,6.5,5.3,4.3,3.5,2.8,2.2,1.8,-,-,-,-
AT,ForNAWS,LD,AT22,HNP,E,con,1.6,5.2,7.3,7.8,7.4,6.6,5.6,4.6,3.7,2.9,2.3,1.8,1.4,1.1,0.8,0.6,-,-,-,-
AT,ForNAWS,LD,AT31,HNP,E,con,0.5,2.8,5.5,7.6,9,9.7,9.7,9.4,8.8,8,7.2,6.3,5.5,4.8,4.1,3.6,-,-,-,-
AT,ForNAWS,LD,AT32,HNP,E,con,0.5,2.5,4.6,6.1,7,7.3,7.2,6.8,6.2,5.5,4.9,4.3,3.7,3.1,2.7,2.3,-,-,-,-
AT,ForNAWS,LD,AT33,HNP,E,con,3.6,5,5.4,5.4,5.2,5,4.7,4.4,4,3.7,3.4,3.2,2.9,2.6,2.4,2.2,-,-,-,-
AT,ForNAWS,OH,AT12,HNP,E,broad,0.7,3.7,7.1,9.3,10.1,9.9,9.2,8.1,6.9,5.7,4.7,3.8,3.1,2.4,1.9,1.5,-,-,-,-
