country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,Avg stock,Net stock change,,
IT,?,QC,Pu,H,U,broad,141.3,1.5,,
IT,?,QC,Si,H,U,broad,100.8,2.5,,
IT,?,QC,To,H,U,broad,125.2,5.2,,
IT,?,QC,Um,H,U,broad,192,2.7,,
IT,?,QI,Ab,H,U,broad,103.9,0.4,,
IT,?,QI,Ba,H,U,broad,103.9,0.4,,
IT,?,QI,Cal,H,U,broad,317.7,0.4,,
IT,?,QI,Cam,H,U,broad,27.8,0.6,,
IT,?,QI,ER,H,U,broad,103.9,0.4,,
IT,?,QI,La,H,U,broad,103.9,0.4,,
IT,?,QI,Li,H,U,broad,103.9,0.4,,
IT,?,QI,Ma,H,U,broad,103.9,0.4,,
IT,?,QI,Mo,H,U,broad,103.9,0.4,,
IT,?,QI,Pu,H,U,broad,49.6,0.5,,
IT,?,QI,Sa,H,U,broad,58,0.2,,
IT,?,QI,Si,H,U,broad,74.8,0.3,,
IT,?,QI,Tn,H,U,broad,103.9,0.4,,
IT,?,QI,To,H,U,broad,95.4,0.6,,
IT,?,QI,Um,H,U,broad,103.9,0.4,,
IT,?,QI,Ve,H,U,broad,103.9,0.4,,
IT,?,QR,Ab,H,U,broad,120.5,2,,
IT,?,QR,Ba,H,U,broad,100.6,0.7,,
IT,?,QR,Cal,H,U,broad,152.5,2.3,,
IT,?,QR,Cam,H,U,broad,53.3,1.7,,
IT,?,QR,ER,H,U,broad,82.5,1.5,,
IT,?,QR,FVG,H,U,broad,109.1,2.3,,
IT,?,QR,La,H,U,broad,54.7,1.2,,
IT,?,QR,Li,H,U,broad,51.9,1.9,,
IT,?,QR,Lo,H,U,broad,149.9,3.5,,
IT,?,QR,Ma,H,U,broad,102.4,2.7,,
IT,?,QR,Mo,H,U,broad,51.5,2.6,,
IT,?,QR,Pi,H,U,broad,127.2,2.3,,
IT,?,QR,Pu,H,U,broad,54.6,1,,
IT,?,QR,Sa,H,U,broad,50.4,1.1,,
IT,?,QR,Si,H,U,broad,54.5,1,,
IT,?,QR,Tn,H,U,broad,322.6,5.5,,
IT,?,QR,To,H,U,broad,105.8,1.9,,
IT,?,QR,Um,H,U,broad,30.4,0.2,,
IT,?,QR,Va,H,U,broad,72.7,1.4,,
IT,?,QR,Ve,H,U,broad,335.2,9,,
IT,?,QS,Cal,H,U,broad,124.2,4.1,,
IT,?,QS,Cam,H,U,broad,68.8,1.7,,
IT,?,QS,La,H,U,broad,81.2,1.3,,
IT,?,QS,Sa,H,U,broad,42.5,0.8,,
IT,?,QS,Si,H,U,broad,27.1,0.6,,
IT,?,QS,To,H,U,broad,68.8,1.7,,
IT,?,RF,Ab,H,U,broad,110.3,4.3,,
IT,?,RF,Ba,H,U,broad,287.5,7.8,,
IT,?,RF,Cal,H,U,broad,109.6,1.9,,
IT,?,RF,Cam,H,U,broad,338.9,4.7,,
IT,?,RF,ER,H,U,broad,80.5,3.1,,
IT,?,RF,FVG,H,U,broad,149.6,3.5,,
IT,?,RF,La,H,U,broad,86.9,1.3,,
IT,?,RF,Li,H,U,broad,313.5,6.6,,
IT,?,RF,Lo,H,U,broad,44.2,0.6,,
IT,?,RF,Ma,H,U,broad,143.9,3.6,,
IT,?,RF,Mo,H,U,broad,283.8,5,,
IT,?,RF,Pi,H,U,broad,126.1,3.4,,
IT,?,RF,Pu,H,U,broad,149.6,3.5,,
IT,?,RF,Sa,H,U,broad,149.6,3.5,,
IT,?,RF,Si,H,U,broad,64.4,2.2,,
IT,?,RF,Tn,H,U,broad,149.6,3.5,,
IT,?,RF,To,H,U,broad,138.8,3.5,,
IT,?,RF,Um,H,U,broad,39.4,1,,
IT,?,RF,Va,H,U,broad,149.6,3.5,,
IT,?,RF,Ve,H,U,broad,75.9,3.3,,
PT,?,CS,?,H,U,broad,32.6,4.6,,
PT,?,EP,?,C,U,broad,39.9,8,,
PT,?,OB,?,H,U,broad,25.9,5.1,,
PT,?,OC,?,H,U,con,46.3,9.3,,
PT,?,PM,?,H,U,con,49.7,6.1,,
PT,?,PP,?,H,U,con,13.1,2.6,,
PT,?,QI,?,H,U,broad,10.7,0.5,,
PT,?,QR,?,H,U,broad,34.7,1.8,,
PT,?,QS,?,H,U,broad,18.7,0.5,,
PT,?,RP,?,H,U,broad,67.2,3.7,,
PT,?,SI,?,H,U,broad,7.5,1.5,,
RO,?,ConBroad,RO11,H,U,con,194.2,3.3,,
RO,?,ConBroad,RO12,H,U,con,316.6,7.5,,
RO,?,ConBroad,RO21,H,U,con,346.3,6,,
RO,?,ConBroad,RO22,H,U,con,345,6.1,,
RO,?,ConBroad,RO31,H,U,con,314,10,,
RO,?,ConBroad,RO41,H,U,con,208.3,6.2,,
RO,?,ConBroad,RO42,H,U,con,362.6,7.5,,
RO,?,FS,RO11,H,U,broad,214.9,4.4,,
RO,?,FS,RO12,H,U,broad,191.9,3.9,,
RO,?,FS,RO21,H,U,broad,251.9,4.5,,
RO,?,FS,RO22,H,U,broad,200.6,4.6,,
RO,?,FS,RO31,H,U,broad,256.9,5.6,,
RO,?,FS,RO41,H,U,broad,299.1,5.2,,
RO,?,FS,RO42,H,U,broad,293.3,4.1,,
RO,?,OB,RO11,H,U,broad,104.9,3.8,,
RO,?,OB,RO12,H,U,broad,156.3,5.2,,
RO,?,OB,RO21,H,U,broad,141.1,2.9,,
RO,?,OB,RO22,H,U,broad,145.9,4.2,,
RO,?,OB,RO31,H,U,broad,180.4,5,,
RO,?,OB,RO32,H,U,broad,162.9,4.7,,
RO,?,OB,RO41,H,U,broad,121.8,3.3,,
RO,?,OB,RO42,H,U,broad,148.2,3.3,,
RO,?,OC,RO11,H,U,con,291.9,5.4,,
RO,?,OC,RO12,H,U,con,153.7,3,,
RO,?,OC,RO21,H,U,con,271.3,5,,
RO,?,OC,RO22,H,U,con,365.2,7.9,,
RO,?,OC,RO41,H,U,con,137.3,4.3,,
RO,?,OC,RO42,H,U,con,146,2.2,,
RO,?,PA,RO11,H,U,con,104.5,2.5,,
RO,?,PA,RO12,H,U,con,224.5,5.7,,
RO,?,PA,RO21,H,U,con,276.7,5.3,,
RO,?,PA,RO22,H,U,con,359.2,9.5,,
RO,?,PA,RO31,H,U,con,315.9,5.4,,
RO,?,PA,RO41,H,U,con,340.9,11,,
RO,?,PA,RO42,H,U,con,179.9,3.2,,
RO,?,PredBroad,RO11,H,U,broad,183.8,4.5,,
RO,?,PredBroad,RO12,H,U,broad,254.8,4.9,,
RO,?,PredBroad,RO21,H,U,broad,162.2,3.4,,
RO,?,PredBroad,RO22,H,U,broad,280.1,5.7,,
RO,?,PredBroad,RO31,H,U,broad,255.4,7.4,,
RO,?,PredBroad,RO42,H,U,broad,185,3.5,,
RO,?,PredCon,RO11,H,U,con,329.8,4.2,,
RO,?,PredCon,RO12,H,U,con,238.6,6.1,,
RO,?,PredCon,RO21,H,U,con,325.6,7.7,,
RO,?,PredCon,RO22,H,U,con,441.8,7.1,,
RO,?,PredCon,RO31,H,U,con,169.7,4.8,,
RO,?,PredCon,RO41,H,U,con,266.2,7.6,,
RO,?,PredCon,RO42,H,U,con,415.5,5.3,,
RO,?,QR,RO11,H,U,broad,81,3.6,,
RO,?,QR,RO12,H,U,broad,142.8,3.5,,
RO,?,QR,RO22,H,U,broad,231.7,3.9,,
RO,?,QR,RO31,H,U,broad,131.5,4.4,,
RO,?,QR,RO32,H,U,broad,143.3,4.3,,
RO,?,QR,RO41,H,U,broad,107.9,2.6,,
RO,?,QR,RO42,H,U,broad,95.2,2.4,,
