country,nuts2,mai_co2_mean,mai_co2_min,mai_co2_max,n_forest_types,rotation_age_mean,mai_vol_mean
RO,RO32,5.211502083333333,4.160200000000001,6.3162,4,25.0,4.125
RO,RO41,5.658247393401805,4.150797619047618,8.336533333333334,9,38.333333333333336,4.994435107376284
RO,RO42,5.411405704365079,3.8335,7.1925333333333334,8,33.75,4.533862193362193
SE,SE11,4.345736607142857,3.159527380952381,5.3108,4,100.0,4.059142857142858
SE,SE12,4.779041666666666,4.224,5.167066666666668,4,25.0,4.424
SE,SE21,4.384979761904761,3.77025,5.142499999999998,4,62.5,4.111571428571429
SE,SE22,5.570697916666666,3.7661249999999997,6.659033333333333,4,25.0,5.1419999999999995
SE,SE23,5.25435625,3.667125,6.768666666666666,4,25.0,4.835
SE,SE31,4.230645833333333,3.35775,4.966866666666666,4,30.0,3.8930000000000002
SE,SE32,3.321083333333333,2.7188333333333334,3.9754000000000005,4,32.5,3.050090909090909
SE,SE33,2.1393166666666668,1.7654999999999998,2.6332166666666668,4,32.5,1.9420000000000002
SI,NUTS0,3.7197166666666663,3.528,4.3296,8,61.25,3.5315151515151517
SK,NUTS0,4.778124084249084,3.53625,6.347916666666666,7,60.714285714285715,4.463376623376623
